start;end;start_speed;end_speed;Wh;L/h;L/km;NOx;CO;HC;PM;CO2
(43.392029, -5.802437, 174.8956168377772);(43.391259, -5.804632, 173.5878525553271);8.745816879385508;10.3569658907226;0.0;5.586592178770949e-06;0.0009623427800628394;0.0008103949390751939;0.003038981021531977;0.000263378355199438;2.0259873476879846e-05;0.07473428771206697
(43.391259, -5.804632, 173.5878525553271);(43.389589, -5.806546, 168.4837706387043);10.3569658907226;13.64094495391057;0.0;5.586592178770951e-06;0.0003697409520575294;0.002708846151480603;0.010158173068052258;0.0008803749992311958;6.772115378701506e-05;0.06099191024356211
(43.389589, -5.806546, 168.4837706387043);(43.387854, -5.807861, 167.2177648730576);13.64094495391057;10.50968970113109;0.0;-0.00013241383253195002;-0.015029866233624982;-0.000526712800515979;-0.0019751730019349207;-0.00017118166016769315;-1.3167820012899472e-05;-1.5871877121435896
(43.387854, -5.807861, 167.2177648730576);(43.38647, -5.809279, 164.994775406085);10.50968970113109;7.030746648790423;0.0;-0.00010845068250715923;-0.02485755160263592;-0.0004313927148618113;-0.0016177226807317922;-0.00014020263233008868;-1.078481787154528e-05;-1.4915975767240612
(43.38647, -5.809279, 164.994775406085);(43.386363, -5.810775, 172.641068351455);7.030746648790423;11.23446637234331;0.0;5.58659217877095e-06;0.0014219774297223832;0.004550853583782198;0.017065700939183238;0.001479027414729214;0.00011377133959455493;0.12108910096721599
(43.386363, -5.810775, 172.641068351455);(43.38712, -5.812233, 165.2439529187977);11.23446637234331;6.193135585477047;0.0;-0.0010216651691871902;-0.1902144917224795;-0.004063957006322378;-0.015239838773708918;-0.001320786027054773;-0.00010159892515805945;-18.599151202842343
(43.38712, -5.812233, 165.2439529187977);(43.386225, -5.814185, 161.8891762774438);6.193135585477047;3.101993094078926;0.0;-0.00043319774956134075;-0.06260091140843708;-0.0017231643815884443;-0.0064618664309566655;-0.0005600284240162444;-4.307910953971111e-05;-6.121439843968366
(43.386225, -5.814185, 161.8891762774438);(43.3857, -5.816708, 163.1401211218908);3.101993094078926;4.076497321148145;0.0;5.586592178770949e-06;0.0018657980235694226;0.0006905229037813626;0.00258946088918011;0.00022441994372894287;1.7263072594534066e-05;0.06937467640552113
(43.3857, -5.816708, 163.1401211218908);(43.386161, -5.818917, 163.0743759647012);4.076497321148145;0.5909896497510102;0.0;-1.2829988336733642e-06;-0.00024808294378444426;-5.103484249500715e-06;-1.913806593562768e-05;-1.6586323810877324e-06;-1.275871062375179e-07;-0.018193080733626254
(43.386161, -5.818917, 163.0743759647012);(43.385549, -5.821378, 164.3623029477894);0.5909896497510102;8.219092848989575;0.0;5.586592178770951e-06;0.0013788647609198265;0.0016741415947704597;0.006278030980389223;0.0005440960183003994;4.185353986926149e-05;0.07000302284807838
(43.385549, -5.821378, 164.3623029477894);(43.383815, -5.82058, 166.5839384999126);8.219092848989575;3.243444475080752;0.0;5.58659217877095e-06;0.0014294743497042467;0.0006167714735286;0.00231289302573225;0.000200450728896795;1.5419286838215e-05;0.07257806274269635
(43.383815, -5.82058, 166.5839384999126);(43.382644, -5.819182, 168.1421691132709);3.243444475080752;2.207992274014735;0.0;5.586592178770951e-06;0.0021374032749246594;0.0006028476419417362;0.002260678657281511;0.00019592548363106427;1.5071191048543405e-05;0.08549566603117623
(43.382644, -5.819182, 168.1421691132709);(43.380949, -5.819753, 180.2433135192841);2.207992274014735;5.91983163163781;0.0;5.58659217877095e-06;0.0012964296651299006;0.004564421950836212;0.017116582315635794;0.0014834371340217687;0.00011411054877090528;0.07605664428368136
(43.380949, -5.819753, 180.2433135192841);(43.379682, -5.818389, 187.4786555962637);5.91983163163781;0.7664733495626715;0.0;5.586592178770949e-06;0.0014670410028415888;0.001966801605539093;0.007375506020771598;0.0006392105218002052;4.9170040138477325e-05;0.08240585669045271
(43.379682, -5.818389, 187.4786555962637);(43.378601, -5.818953, 193.2289409982041);0.7664733495626715;12.33039623406713;0.0;5.58659217877095e-06;0.0013043208440252146;0.0053255641665139715;0.01997086562442739;0.0017308083541170405;0.00013313910416284927;0.11477319851757714
(43.378601, -5.818953, 193.2289409982041);(43.378337, -5.821382, 196.0701148239896);12.33039623406713;6.626193263926921;0.0;5.586592178770949e-06;0.001319261651430527;0.000793803668648902;0.0029767637574333824;0.00025798619231089316;1.9845091716222552e-05;0.07410754529996345
(43.378337, -5.821382, 196.0701148239896);(43.376501, -5.822138, 208.1883422574028);6.626193263926921;6.032413340215604;0.0;5.586592178770949e-06;0.0006557152933389056;0.007284011711989535;0.027315043919960758;0.002367303806396599;0.00018210029279973837;0.06924813863692816
(43.376501, -5.822138, 208.1883422574028);(43.375058, -5.823656, 203.4406726900488);6.032413340215604;12.37425422980762;0.0;5.586592178770949e-06;0.0007741130543072184;0.0011221470426578221;0.004208051409966833;0.0003646977888637922;2.8053676066445557e-05;0.07298416083932469
(43.375058, -5.823656, 203.4406726900488);(43.373512, -5.824801, 189.8955223215744);12.37425422980762;5.32125706265255;0.0;-0.0020873599849886588;-0.27800834226926385;-0.008303054162510443;-0.03113645310941416;-0.002698492602815894;-0.00020757635406276108;-28.227086754068598
(43.373512, -5.824801, 189.8955223215744);(43.373254, -5.826908, 197.5276054805145);5.32125706265255;9.96825211036777;0.0;5.58659217877095e-06;0.0015163647368987637;0.003162722917370222;0.011860210940138331;0.0010278849481453222;7.906807293425555e-05;0.08517728096744955
(43.373254, -5.826908, 197.5276054805145);(43.373734, -5.829293, 198.011345140636);9.96825211036777;5.410676519566714;0.0;-2.0751953581589354e-05;-0.003208033970910536;-8.25466598023221e-05;-0.00030954997425870794;-2.6827664435754686e-05;-2.063666495058053e-06;-0.2732227609223353
(43.373734, -5.829293, 198.011345140636);(43.374698, -5.829718, 205.0144874127582);5.410676519566714;4.714433857068373;0.0;5.58659217877095e-06;0.0017878430653970024;0.0028902037028297497;0.010838263885611562;0.0009393162034196686;7.225509257074375e-05;0.1310954257596492
(43.374698, -5.829718, 205.0144874127582);(43.375771, -5.831454, 196.5086959721521);4.714433857068373;4.818631576846333;0.0;-0.0003622452641475856;-0.11589354182521867;-0.0014409311618315073;-0.005403491856868153;-0.00046830262759523986;-3.602327904578769e-05;-5.186034460506376
(43.375771, -5.831454, 196.5086959721521);(43.374795, -5.831966, 200.4281887011603);4.818631576846333;7.933296894376421;0.0;5.58659217877095e-06;0.0014435329842910748;0.00280396151640883;0.01051485568653311;0.0009112874928328697;7.009903791022075e-05;0.1270317450934369
(43.374795, -5.831966, 200.4281887011603);(43.373146, -5.831781, 193.4622175628319);7.933296894376421;5.22814250398679;0.0;-0.0005966419842869452;-0.11361254367311968;-0.0023733092263858485;-0.008899909598946931;-0.0007713254985754007;-5.933273065964621e-05;-8.569064109235253
(43.373146, -5.831781, 193.4622175628319);(43.371313, -5.832499, 188.8267639623955);5.22814250398679;2.494151546319278;0.0;-0.00023746988960253907;-0.05605766063822844;-0.0009446024497523221;-0.0035422591865712076;-0.0003069957961695047;-2.3615061243808053e-05;-2.960002548774856
(43.371313, -5.832499, 188.8267639623955);(43.369755, -5.833542, 186.0880654817447);2.494151546319278;7.13736949205592;0.0;5.58659217877095e-06;0.0017689821772085424;0.00017229299846563786;0.0006460987442461419;5.5995224501332294e-05;4.307324961640946e-06;0.0765631885927714
(43.369755, -5.833542, 186.0880654817447);(43.370017, -5.836294, 187.4193977853283);7.13736949205592;7.230636157350776;0.0;5.586592178770949e-06;0.0007451109785680259;0.00172910189676391;0.006484132112864661;0.0005619581164482707;4.322754741909775e-05;0.06556645494056379
(43.370017, -5.836294, 187.4193977853283);(43.370792, -5.837723, 189.136979422532);7.230636157350776;5.802680775199367;0.0;5.586592178770949e-06;0.003987211092258404;0.0003964943176532865;0.0014868536911998242;0.0001288606532373181;9.91235794133216e-06;0.10219481952242322
(43.370792, -5.837723, 189.136979422532);(43.370464, -5.840361, 191.4583998527378);5.802680775199367;2.582635088831057;0.0;5.586592178770949e-06;0.001983218854421264;0.0006232064984593334;0.0023370243692225003;0.00020254211199928336;1.5580162461483333e-05;0.06800011002367598
(43.370464, -5.840361, 191.4583998527378);(43.369719, -5.842929, 198.6282907947898);2.582635088831057;8.361812852300105;0.0;5.586592178770949e-06;0.001272061282128035;0.0031207500745555204;0.011702812779583202;0.001014243774230544;7.801875186388801e-05;0.06584499373396552
(43.369719, -5.842929, 198.6282907947898);(43.368196, -5.84457, 200.6601441260427);8.361812852300105;8.359105854993192;0.0;5.586592178770949e-06;0.0019986394944895534;0.0007797355615785608;0.002924008355919603;0.00025341405751303224;1.949338903946402e-05;0.06852717408556676
(43.368196, -5.84457, 200.6601441260427);(43.3665, -5.846194, 203.8362335925922);8.359105854993192;6.845373361760843;0.0;5.586592178770951e-06;0.0029409437029428004;0.0005988766976141466;0.0022457876160530497;0.00019463492672459762;1.4971917440353664e-05;0.06416632068485065
(43.3665, -5.846194, 203.8362335925922);(43.364808, -5.846866, 212.6821167990565);6.845373361760843;0.490400135987782;0.0;5.586592178770949e-06;0.0017697408287023174;0.0018589336152957032;0.006971001057358886;0.0006041534249711035;4.6473340382392574e-05;0.07535813446848572
(43.364808, -5.846866, 212.6821167990565);(43.363798, -5.846981, 218.8794212695211);0.490400135987782;1.414680857963215;0.0;5.58659217877095e-06;0.003324288040617688;0.0014570788558057697;0.005464045709271636;0.0004735506281368751;3.642697139514424e-05;0.13098534507333326
(43.363798, -5.846981, 218.8794212695211);(43.36259, -5.848108, 225.6335008805618);1.414680857963215;5.206230730256868;0.0;5.586592178770949e-06;0.001927022357102709;0.0022264150969714016;0.008349056613642755;0.0007235849065157054;5.5660377424285034e-05;0.09084467947744133
(43.36259, -5.848108, 225.6335008805618);(43.3632, -5.849952, 226.5599283091724);5.206230730256868;5.526706754755057;0.0;5.586592178770949e-06;0.0022804717791059933;0.0005418840491969701;0.0020320651844886383;0.00017611231598901528;1.3547101229924253e-05;0.08986494683519017
(43.3632, -5.849952, 226.5599283091724);(43.362414, -5.852323, 237.0555538479239);5.526706754755057;2.323956676603916;0.0;5.58659217877095e-06;0.001032121077947887;0.0036559856556235256;0.013709946208588219;0.001188195338077646;9.139964139058814e-05;0.06986532116494956
(43.362414, -5.852323, 237.0555538479239);(43.361447, -5.8545, 244.9824076006189);2.323956676603916;7.971455463169403;0.0;5.58659217877095e-06;0.0022713628942053325;0.0017973907707483452;0.006740215390306294;0.0005841520004932121;4.493476926870862e-05;0.0713874195126833
(43.361447, -5.8545, 244.9824076006189);(43.361297, -5.857224, 242.3532238816842);7.971455463169403;5.905920818116493;0.0;-0.0001841187200294792;-0.02494715996761306;-0.0007323833530061506;-0.0027464375737730647;-0.00023802458972699893;-1.8309583825153763e-05;-2.1950625259602816
(43.361297, -5.857224, 242.3532238816842);(43.360765, -5.85962, 244.3066737186164);5.905920818116493;8.81761105129564;0.0;5.586592178770949e-06;0.0016234351510452177;0.001175584667239436;0.004408442502147885;0.0003820650168528167;2.9389616680985898e-05;0.07264658584469252
(43.360765, -5.85962, 244.3066737186164);(43.360454, -5.862072, 250.6682185484096);8.81761105129564;10.0537891079442;0.0;5.58659217877095e-06;0.0011770525451767282;0.002909542900932597;0.010910785878497238;0.0009456014428030939;7.273857252331491e-05;0.07310479968614124
(43.360454, -5.862072, 250.6682185484096);(43.359877, -5.864352, 257.459608130157);10.0537891079442;3.593101419872392;0.0;5.58659217877095e-06;0.0022131137212797157;0.0012360078386001766;0.004635029394750663;0.00040170254754505745;3.0900195965004415e-05;0.07539211906159471
(43.359877, -5.864352, 257.459608130157);(43.359055, -5.867041, 266.3772727837786);3.593101419872392;10.06107582088077;0.0;5.58659217877095e-06;0.0006854809528793434;0.007638136034059198;0.02864301012772199;0.002482394211069239;0.00019095340085147994;0.06240459470457245
(43.359055, -5.867041, 266.3772727837786);(43.358229, -5.86963, 280.8333094632253);10.06107582088077;10.95893239289813;0.0;5.586592178770949e-06;0.0010513566860851874;0.0054171256658149605;0.0203142212468061;0.001760565841389862;0.000135428141645374;0.06438656058507576
(43.358229, -5.86963, 280.8333094632253);(43.357108, -5.871406, 292.1677432060242);10.95893239289813;10.25775189395712;0.0;5.586592178770949e-06;0.0014346740678120786;0.003610759574954765;0.01354034840608037;0.0011734968618602986;9.026898937386912e-05;0.0774747892980519
(43.357108, -5.871406, 292.1677432060242);(43.356411, -5.873578, 298.0756639586762);10.25775189395712;4.099034173971539;0.0;5.586592178770949e-06;0.0012198100965348118;0.0016253968389916616;0.00609523814621873;0.0005282539726722901;4.063492097479154e-05;0.07667415355335236
(43.356411, -5.873578, 298.0756639586762);(43.354566, -5.872512, 318.883426239714);4.099034173971539;0.1302977668048964;0.0;5.58659217877095e-06;0.0011176401398139506;0.006129678520664151;0.022986294452490567;0.001992145519215849;0.00015324196301660378;0.06630026330248313
