start;end;start_time;end_time;start_speed;end_speed;L/h;L/km;NOx;CO;HC;PM;CO2
(43.391264, -5.801079, 173.2862721503871);(43.391468, -5.801223, 174.6766786202788);0;8.0498425674159;0;6.333333333333334;4.021525495024361;0.35276539430038245;0.004443537429687411;0.01666326536132779;0.0014441496646484086;0.00011108843574218527;115.6917831812913
(43.391468, -5.801223, 174.6766786202788);(43.391768, -5.801411, 174.9100775970146);8.0498425674159;13.046987861056927;6.333333333333334;8.333333333333334;14.004329479739665;0.5304670257477145;0.01547391961032963;0.0580271985387361;0.0050290238733571285;0.0003868479902582407;280.2465939415544
(43.391768, -5.801411, 174.9100775970146);(43.392097, -5.801549, 175.4675523051992);13.046987861056927;17.63384913289616;8.333333333333334;8.333333333333334;14.809100675308349;0.49363668917694475;0.016363142104198734;0.06136178289074524;0.005318021183864588;0.00040907855260496824;284.11603974771594
(43.392097, -5.801549, 175.4675523051992);(43.39219, -5.801838, 174.6787773203105);17.63384913289616;20.70504241152076;8.333333333333334;8.333333333333334;4.5616409802044995;0.1520546993401499;0.005040331700349416;0.018901243876310307;0.00163810780261356;0.0001260082925087354;130.70633133117855
(43.39219, -5.801838, 174.6787773203105);(43.392091, -5.802117, 174.6218505902216);20.70504241152076;23.72167635415015;8.333333333333334;8.333333333333334;8.081405334267243;0.26938017780890816;0.008929454042184176;0.03348545265819066;0.0029020725637098573;0.0002232363510546044;235.74742011808223
(43.392091, -5.802117, 174.6218505902216);(43.392029, -5.802437, 174.8956168377772);23.72167635415015;26.94080017105565;8.333333333333334;8.333333333333334;9.273246389235565;0.30910821297451896;0.01024636483748868;0.03842386814058255;0.003330068572183821;0.000256159120937217;253.49931492762033
(43.392029, -5.802437, 174.8956168377772);(43.391929, -5.802772, 175.2724560108036);26.94080017105565;30.460132165700607;8.333333333333334;8.333333333333334;9.00409759294642;0.3001365864315473;0.009948972031712406;0.03730864511892152;0.0032334159103065314;0.0002487243007928101;225.14516657847193
(43.391929, -5.802772, 175.2724560108036);(43.391746, -5.80312, 175.396753099747);30.460132165700607;34.63147116150711;8.333333333333334;8.333333333333334;6.88131289178073;0.229377096392691;0.007603425973016981;0.02851284739881368;0.0024711134412305187;0.00019008564932542453;145.1705399837982
(43.391746, -5.80312, 175.396753099747);(43.391587, -5.803391, 173.9241051021963);34.63147116150711;38.01314838048431;8.333333333333334;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.391587, -5.803391, 173.9241051021963);(43.391521, -5.803765, 173.1439117807895);38.01314838048431;41.2198774771775;8.333333333333334;11.11111111111111;1.4803282354292853;0.04229509244083676;0.0016356713218632227;0.006133767456987085;0.0005315931796055474;4.089178304658057e-05;34.82022979707049
(43.391521, -5.803765, 173.1439117807895);(43.391702, -5.803995, 173.5851919092238);41.2198774771775;43.68731783463954;11.11111111111111;11.11111111111111;11.894351216973785;0.2973587804243447;0.013142523875545112;0.049284464533294166;0.004271320259552161;0.0003285630968886278;318.1544704601215
(43.391702, -5.803995, 173.5851919092238);(43.391608, -5.804345, 173.6545990938321);43.68731783463954;46.40705711454319;11.11111111111111;11.11111111111111;8.531141007780692;0.21327852519451715;0.00942638419995521;0.03534894074983204;0.0030635748649854434;0.00023565960499888027;207.02547140234427
(43.391608, -5.804345, 173.6545990938321);(43.391336, -5.804537, 173.5430060308427);46.40705711454319;49.12611409574018;11.11111111111111;13.88888888888889;7.846647122278836;0.1743699360506409;0.00867006070918464;0.032512727659442395;0.002817769730485008;0.00021675151772961599;169.30010454251033
(43.391336, -5.804537, 173.5430060308427);(43.391149, -5.804765, 173.5826874403283);49.12611409574018;51.127768902937476;13.88888888888889;13.88888888888889;11.325547936532123;0.2265109587306424;0.01251403136197068;0.046927617607390046;0.004067060192640471;0.000312850784049267;298.74728094910415
(43.391149, -5.804765, 173.5826874403283);(43.390955, -5.80502, 172.4374161697924);51.127768902937476;53.27743905218594;13.88888888888889;13.88888888888889;0.12162862417595335;0.0024325724835190694;0.0001343921217746645;0.0005039704566549919;4.367743957676597e-05;3.3598030443666124e-06;2.987431052496823
(43.390955, -5.80502, 172.4374161697924);(43.390719, -5.805261, 172.7348168874159);53.27743905218594;55.63124508467843;13.88888888888889;13.88888888888889;12.811274134631317;0.25622548269262624;0.01415566709937658;0.05308375162266218;0.004600591807297389;0.0003538916774844145;287.3793613283599
(43.390719, -5.805261, 172.7348168874159);(43.390506, -5.805509, 171.9668069882318);55.63124508467843;57.866442123851876;13.88888888888889;13.88888888888889;3.2330170365997475;0.06466034073199498;0.0035722842564898448;0.013396065961836918;0.0011609923833591994;8.930710641224611e-05;76.37058234275015
(43.390506, -5.805509, 171.9668069882318);(43.390301, -5.805754, 171.1944854445755);57.866442123851876;60.041715214104954;13.88888888888889;13.88888888888889;2.7380980143761477;0.054761960287522865;0.0030254292874896944;0.011345359828086352;0.0009832645184341506;7.563573218724236e-05;66.46134492577225
(43.390301, -5.805754, 171.1944854445755);(43.390094, -5.805994, 170.5229803230613);60.041715214104954;62.21013070915046;13.88888888888889;13.88888888888889;3.389623913191634;0.06779247826383275;0.003745325188032732;0.014044969455122742;0.0012172306861106378;9.36331297008183e-05;82.53590837431385
(43.390094, -5.805994, 170.5229803230613);(43.389893, -5.806235, 169.2917851209641);62.21013070915046;64.34595991799165;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.389893, -5.806235, 169.2917851209641);(43.389684, -5.806444, 168.7992813456804);64.34595991799165;66.41516191685788;13.88888888888889;13.88888888888889;4.370581695828583;0.08741163391657182;0.004829222984897015;0.018109586193363805;0.00156949747009153;0.00012073057462242536;111.52449768857382
(43.389684, -5.806444, 168.7992813456804);(43.38949, -5.80665, 168.2228646520525);66.41516191685788;68.37792308857006;13.88888888888889;13.88888888888889;3.085141729365004;0.06170283458730003;0.0034088911701008378;0.01278334188787814;0.0011078896302827723;8.522227925252093e-05;82.99302312383406
(43.38949, -5.80665, 168.2228646520525);(43.389303, -5.806833, 168.2199017191306);68.37792308857006;70.21566532098988;13.88888888888889;12.88888888888889;8.679172952870312;0.17358345905740638;0.009589950361504854;0.0359623138556432;0.0031167338674890767;0.0002397487590376213;249.36050542199456
(43.389303, -5.806833, 168.2199017191306);(43.388976, -5.8071, 167.9087474616244);70.21566532098988;73.89246108356127;12.88888888888889;10.11111111111111;5.419988753479351;0.130917602741047;0.005988753005387678;0.02245782377020379;0.0019463447267509953;0.00014971882513469196;94.00099803059256
(43.388976, -5.8071, 167.9087474616244);(43.388773, -5.807356, 167.1003944259137);73.89246108356127;76.78013914437842;10.11111111111111;11.11111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.388773, -5.807356, 167.1003944259137);(43.388597, -5.807597, 166.6479760687798);76.78013914437842;79.26722061124138;11.11111111111111;11.11111111111111;1.989329840011477;0.04973324600028704;0.0021980866750744097;0.008242825031529037;0.0007143781693991832;5.495216687686025e-05;52.79110121244462
(43.388597, -5.807597, 166.6479760687798);(43.38832, -5.807486, 166.8676801631227);79.26722061124138;82.15280675682057;11.11111111111111;11.11111111111111;6.978595093889786;0.17446487734724447;0.007710916801273283;0.02891593800477481;0.0025060479604138166;0.00019277292003183204;159.61653991940634
(43.38832, -5.807486, 166.8676801631227);(43.387998, -5.807692, 166.7433000151068);82.15280675682057;85.70569899095925;11.11111111111111;11.11111111111111;4.675872671646912;0.11689681679117274;0.0051665506680543035;0.019374565005203636;0.0016791289671176486;0.00012916376670135758;86.86095045703266
(43.387998, -5.807692, 166.7433000151068);(43.387777, -5.807941, 167.5101149203256);85.70569899095925;88.56581544340108;11.11111111111111;11.11111111111111;10.526326904271869;0.2631581726067969;0.01163094145595472;0.0436160304598302;0.0037800559731852846;0.000290773536398868;242.90534572073472
(43.387777, -5.807941, 167.5101149203256);(43.387537, -5.808199, 167.6010423181579);88.56581544340108;91.61518836939756;11.11111111111111;11.11111111111111;5.736026239340883;0.14340065598352217;0.0063379549187778895;0.023767330945417085;0.002059835348602814;0.00015844887296944724;124.14937135732134
(43.387537, -5.808199, 167.6010423181579);(43.387292, -5.808443, 167.2344970703125);91.61518836939756;94.30654250985113;11.11111111111111;13.88888888888889;2.9991695448089515;0.06664821210686568;0.0033138972130913728;0.012427114549092648;0.001077016594254696;8.284743032728432e-05;65.37648736649449
(43.387292, -5.808443, 167.2344970703125);(43.387057, -5.808682, 167.5668138219044);94.30654250985113;96.64701779545092;13.88888888888889;13.88888888888889;9.951727678130597;0.1990345535626113;0.01099604478015665;0.04123516792558743;0.003573714553550911;0.00027490111950391623;224.5062037775957
(43.387057, -5.808682, 167.5668138219044);(43.386836, -5.808918, 166.8910588286817);96.64701779545092;98.88774139986344;13.88888888888889;6.888888888888889;1.1025342734111507;0.02205068546822302;0.0012182323144481234;0.004568371179180463;0.00039592550219564015;3.0455807861203087e-05;25.979915381563263
(43.386836, -5.808918, 166.8910588286817);(43.386667625905886, -5.809118578890227, 166.01692263549194);98.88774139986344;106.08207082589705;6.888888888888889;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386667625905886, -5.809118578890227, 166.01692263549194);(43.386338, -5.809368, 165.1427864423022);106.08207082589705;113.7647706250053;0;9.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386338, -5.809368, 165.1427864423022);(43.386037, -5.809432, 165.9132477268577);113.7647706250053;116.73616503571395;9.88888888888889;12.88888888888889;9.700932187292258;0.2366081021290798;0.010718931243983421;0.04019599216493783;0.003483652654294612;0.0002679732810995855;210.21961519803682
(43.386037, -5.809432, 165.9132477268577);(43.38581, -5.809413, 166.0936301276088);116.73616503571395;118.62330491130464;12.88888888888889;4.888888888888889;7.746837641178864;0.16072277263856594;0.008559777393648252;0.03209916522618094;0.002781927652935682;0.0002139944348412063;224.84190242284083
(43.38581, -5.809413, 166.0936301276088);(43.385562, -5.809665, 167.2776071568951);118.62330491130464;131.75735041918762;4.888888888888889;0.3333333333333339;2.9615730868143024;0.31506096668237243;0.0032723554477762976;0.012271332929161115;0.0010635155205272967;8.180888619440743e-05;63.32861809731399
(43.385562, -5.809665, 167.2776071568951);(43.385734, -5.8099, 166.9423075132072);131.75735041918762;137.60777106617422;0.3333333333333339;0.8888888888888893;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.385734, -5.8099, 166.9423075132072);(43.38593, -5.810172, 170.0917267818004);137.60777106617422;150.5773193409569;0.8888888888888893;0.8888888888888893;5.540457766256094;0.6442392751460577;0.006121863828147166;0.022956989355551873;0.001989605744147829;0.00015304659570367915;131.13731105751182
(43.38593, -5.810172, 170.0917267818004);(43.386157, -5.810489, 172.4047704217955);150.5773193409569;159.83378600115543;0.8888888888888893;1.8888888888888893;5.883613232184519;0.42025808801318054;0.006501029435561907;0.024378860383357154;0.00211283456655762;0.0001625257358890477;119.86013595505148
(43.386157, -5.810489, 172.4047704217955);(43.386363, -5.810775, 172.641068351455);159.83378600115543;165.8777980438211;1.8888888888888893;6.888888888888889;2.3299515832705073;0.12010059707579944;0.002574452675342104;0.009654197532532889;0.0008366971194861837;6.436131688355259e-05;52.45945475321582
(43.386363, -5.810775, 172.641068351455);(43.386596, -5.811082, 172.4678992219269);165.8777980438211;169.70159980485758;6.888888888888889;11.88888888888889;2.0529898716946806;0.06073934531641062;0.002268427080452764;0.008506601551697865;0.0007372388011471483;5.67106770113191e-05;41.9351947763784
(43.386596, -5.811082, 172.4678992219269);(43.386808, -5.811364, 170.9072809014469);169.70159980485758;172.24764585631692;11.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386808, -5.811364, 170.9072809014469);(43.386987, -5.811597, 166.8477362757549);172.24764585631692;174.22197289023143;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386987, -5.811597, 166.8477362757549);(43.387318, -5.811726, 165.6864853594452);174.22197289023143;176.97459242116392;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.387318, -5.811726, 165.6864853594452);(43.387417, -5.812029, 165.2718027997762);176.97459242116392;178.91155951426532;13.88888888888889;13.88888888888889;1.0059182434562184;0.020118364869124255;0.0011114775653003892;0.0041680408698764595;0.0003612302087226265;2.778693913250973e-05;27.420436538984386
(43.387417, -5.812029, 165.2718027997762);(43.387238, -5.812246, 164.9991851206869);178.91155951426532;180.82281319660646;13.88888888888889;13.88888888888889;2.391514454278279;0.047830289085565754;0.002642475847628469;0.009909284428606759;0.0008588046504792524;6.606189619071172e-05;66.06761015168853
(43.387238, -5.812246, 164.9991851206869);(43.387011, -5.812222, 165.2327740006149);180.82281319660646;182.64402636812216;13.88888888888889;13.88888888888889;7.712850894836569;0.15425701789673235;0.008522224136887321;0.03195834051332745;0.0027697228444883795;0.00021305560342218302;223.6083801812456
(43.387011, -5.812222, 165.2327740006149);(43.386751, -5.812463, 163.960872056894);182.64402636812216;185.15447701339056;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386751, -5.812463, 163.960872056894);(43.386529, -5.812764, 162.6834325585514);185.15447701339056;187.65191973503119;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386529, -5.812764, 162.6834325585514);(43.3864, -5.813127, 161.2784334989265);187.65191973503119;190.00769542806646;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.3864, -5.813127, 161.2784334989265);(43.386332, -5.813444, 160.098024437204);190.00769542806646;191.9354175369032;13.88888888888889;13.88888888888889;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386332, -5.813444, 160.098024437204);(43.386283, -5.813754, 160.8203745000064);191.9354175369032;193.78595556331092;13.88888888888889;13.88888888888889;12.751845332141691;0.2550369066428332;0.014090001941070142;0.052837507279013034;0.004579250630847797;0.00035225004852675355;363.8387452345903
(43.386283, -5.813754, 160.8203745000064);(43.386225, -5.814185, 161.8891762774438);193.78595556331092;196.34287195353332;13.88888888888889;13.88888888888889;13.27656019843884;0.2655312039687758;0.014669779478521928;0.05501167304445723;0.0047676783305196264;0.0003667444869630482;274.15928857047834
(43.386225, -5.814185, 161.8891762774438);(43.386084, -5.814585, 163.8573382431641);196.34287195353332;198.9347667435885;13.88888888888889;13.88888888888889;19.94277729271065;0.3988555458542119;0.02203553787280992;0.08263326702303718;0.007161549808663223;0.0005508884468202479;406.2582497928849
(43.386084, -5.814585, 163.8573382431641);(43.38602, -5.814959, 163.5932929646224);198.9347667435885;201.17596029231245;13.88888888888889;13.88888888888889;2.6629817686740855;0.05325963537348153;0.0029424304727942055;0.01103411427297827;0.0009562899036581168;7.356076181985513e-05;62.736856201485644
(43.38602, -5.814959, 163.5932929646224);(43.385945, -5.815304, 163.7770017310977);201.17596029231245;203.27622328345998;13.88888888888889;13.88888888888889;6.691274048114326;0.1338254809622872;0.007393444781558421;0.02772541793084408;0.002402869554006487;0.00018483611953896053;168.2166810678335
(43.385945, -5.815304, 163.7770017310977);(43.385862, -5.815735, 163.7671659169719);203.27622328345998;205.87688669670746;13.88888888888889;13.88888888888889;4.871160468497329;0.09742320936994694;0.00538233162877174;0.020183743607894024;0.0017492577793508156;0.0001345582907192935;98.89679357448843
(43.385862, -5.815735, 163.7671659169719);(43.385786, -5.816079, 163.717212902382);205.87688669670746;207.97386945207523;13.88888888888889;5.888888888888889;4.451677799716931;0.08903355599433885;0.004918829173761301;0.018445609401604876;0.0015986194814724228;0.0001229707293440325;112.08894647482732
(43.385786, -5.816079, 163.717212902382);(43.38574358801743, -5.816384265009034, 163.4767686920241);207.97386945207523;216.52561007246325;5.888888888888889;0;0.4846434727157931;0.04572108233167861;0.0005355011210872034;0.0020081292040770127;0.00017403786435334109;1.3387528027180085e-05;14.114513373787856
(43.38574358801743, -5.816384265009034, 163.4767686920241);(43.385656, -5.816837, 163.4400627920404);216.52561007246325;224.20157885604422;0;9.88888888888889;0.8811736929719731;0.04950414005460519;0.0009736425372961927;0.0036511595148607224;0.00031643382462126263;2.4341063432404816e-05;17.025985048780797
(43.385656, -5.816837, 163.4400627920404);(43.385579, -5.817168, 163.8479943014681);224.20157885604422;227.29142486768836;9.88888888888889;3.333333333333334;5.308522004330014;0.16184518305884144;0.005865589128241188;0.02199595923090445;0.0019063164666783857;0.0001466397282060297;138.28238742809893
(43.385579, -5.817168, 163.8479943014681);(43.385467, -5.8175, 164.3009287565947);227.29142486768836;232.14162769112886;3.333333333333334;5.888888888888889;3.5451760962912475;0.16114436801323867;0.003917200748371193;0.014689502806391974;0.0012730902432206376;9.793001870927983e-05;87.71202917513811
(43.385467, -5.8175, 164.3009287565947);(43.385423, -5.817935, 164.7869412982836);232.14162769112886;236.38356775308574;5.888888888888889;9.88888888888889;4.634444257832413;0.1534584191335241;0.005120774828098779;0.01920290560537042;0.001664251819132103;0.00012801937070246948;95.50588188311409
(43.385423, -5.817935, 164.7869412982836);(43.385657, -5.818181, 165.378382130526);236.38356775308574;240.1879247215257;9.88888888888889;7.333333333333334;5.675718467503318;0.18308769250010667;0.0062713185535993475;0.02351744457599755;0.0020381785299197876;0.00015678296383998366;127.05209111817118
(43.385657, -5.818181, 165.378382130526);(43.385872, -5.81839, 165.9714090870693);240.1879247215257;243.92589598957713;7.333333333333334;8.333333333333334;5.201573176138912;0.18445294950847144;0.005747417274869538;0.021552814780760765;0.0018679106143326;0.00014368543187173843;130.2727473762015
(43.385872, -5.81839, 165.9714090870693);(43.386076, -5.818682, 165.4891535425559);243.92589598957713;247.8575972055825;8.333333333333334;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386076, -5.818682, 165.4891535425559);(43.386178, -5.819067, 162.8771825768054);247.8575972055825;251.84045561025124;8.333333333333334;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386178, -5.819067, 162.8771825768054);(43.386264, -5.819453, 163.6250267690048);251.84045561025124;255.76491233451586;8.333333333333334;7.333333333333334;6.019985645543464;0.20066618818478207;0.006651712534273333;0.024943922003524997;0.002161806573638833;0.00016629281335683331;134.9890632077472
(43.386264, -5.819453, 163.6250267690048);(43.386324471734845, -5.819999882771146, 164.353565803729);255.76491233451586;267.98838057458994;7.333333333333334;0;2.167394127396566;0.16419652480277003;0.0023948367210122547;0.008980637703795955;0.0007783219343289829;5.9870918025306375e-05;35.462834030866325
(43.386324471734845, -5.819999882771146, 164.353565803729);(43.386264, -5.820304, 163.1993382554501);267.98838057458994;274.11835039420043;0;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;0.0
(43.386264, -5.820304, 163.1993382554501);(43.386174, -5.820606, 163.784192610532);274.11835039420043;277.29050558773514;8.333333333333334;8.333333333333334;5.853049292389142;0.19510164307963743;0.0064672581687509655;0.02425221813281612;0.0021018589048440637;0.00016168145421877414;162.3717335078762
(43.386174, -5.820606, 163.784192610532);(43.385942, -5.820979, 164.0474150041118);277.29050558773514;282.0571410773875;8.333333333333334;8.333333333333334;3.301378383290742;0.11004594610969126;0.0036478193247471784;0.013679322467801918;0.001185541280542833;9.119548311867946e-05;60.94892264371031
(43.385942, -5.820979, 164.0474150041118);(43.385682, -5.821245, 163.9046409958974);282.0571410773875;286.3820827202556;8.333333333333334;4.333333333333334;1.5521410125455337;0.05173803375151765;0.001715020007689201;0.006431325028834503;0.0005573815024989904;4.287550019223002e-05;31.581561182274626
(43.385682, -5.821245, 163.9046409958974);(43.385376, -5.821448, 164.9122088178992);286.3820827202556;291.6930591070386;4.333333333333334;5.888888888888889;5.6135615366059755;0.21927974752367105;0.0062026389818053695;0.023259896181770132;0.002015857669086745;0.00015506597454513423;109.00039678262335
(43.385376, -5.821448, 164.9122088178992);(43.385152, -5.821513, 165.0115176131949);291.6930591070386;294.91755529218443;5.888888888888889;4.888888888888889;2.7874679565775717;0.09815028016118131;0.0030799800260949716;0.011549925097856142;0.0010009935084808656;7.699950065237428e-05;80.35882964265328
(43.385152, -5.821513, 165.0115176131949);(43.38488, -5.821572, 166.4234413160011);294.91755529218443;299.35877860594223;4.888888888888889;5.888888888888889;8.155357230766377;0.3288450496276748;0.009011166322883837;0.03379187371081439;0.002928629054937247;0.00022527915807209594;195.47563130359745
(43.38488, -5.821572, 166.4234413160011);(43.38463248616602, -5.821483144283495, 167.1531824907288);299.35877860594223;309.01282700747635;5.888888888888889;0;2.272660397461706;0.21440192428884003;0.00251114945151633;0.009416810443186237;0.0008161235717428073;6.277873628790825e-05;58.63043736476316
(43.38463248616602, -5.821483144283495, 167.1531824907288);(43.384333, -5.821324, 166.9522901056334);309.01282700747635;316.2299271419781;0;7.888888888888889;0.4263357986590083;0.023951449362865723;0.00047107474049359557;0.0017665302768509832;0.00015309929066041855;1.1776868512339887e-05;8.761389635662944
(43.384333, -5.821324, 166.9522901056334);(43.384096, -5.821103, 167.3083207160234);316.2299271419781;319.4500431786809;7.888888888888889;11.88888888888889;4.861135133330607;0.13654873970029816;0.0053712542522603626;0.020142203445976357;0.0017456576319846177;0.00013428135630650905;111.94896975759492
